ticker,corp_code,corp_name,cluster,tier
008470,00124276,부스타,,
008830,00109310,대동기어,,
0088D0,01958111,메리츠제1호스팩,,
0088M0,01780608,메쥬,,
0091W0,01945339,신영스팩11호,,
009300,00126788,삼아제약,,
0093G0,01947072,미래에셋비전스팩8호,,
009520,00128111,포스코엠텍,,
009620,00125822,삼보산업,,
0096B0,01946532,삼성스팩12호,,
0096D0,01946596,미래에셋비전스팩9호,,
009730,00116426,이렘,,
009780,00121154,엠에스씨,,
0097F0,01949469,미래에셋비전스팩10호,,
0098T0,01949140,교보19호스팩,,
0099W0,01948220,미래에셋비전스팩11호,,
0099X0,01949584,IBKS제25호스팩,,
010170,00113261,대한광통신,,
0101C0,01949195,하나36호스팩,,
010240,00167031,흥국,,
010280,00138303,아이티센엔텍,,
010470,00141671,오리콤,,
0105P0,01954832,유진스팩12호,,
011040,00101549,경동제약,,
011080,00142713,형지I&C,,
011320,00147152,유니크,,
011370,00131504,서한,,
011560,00133876,세보엠이씨,,
0115H0,01957909,삼성스팩13호,,
0117P0,01755259,피스피스스튜디오,,
012210,00125664,삼미금속,,
012340,00105040,뉴인텍,,
012620,00143907,원일특강,,
012700,00117708,리드코프,,
012790,00137058,신일제약,,
012860,00137234,모베이스전자,,
0129K0,01963140,신한제18호스팩,,
013030,00165060,하이록코리아,,
0130D0,01963520,신한제17호스팩,,
0130H0,01965698,엔에이치스팩33호,,
013120,00117966,동원개발,,
0131D0,01964246,키움히어로제2호스팩,,
0132G0,01985203,교보20호스팩,,
013310,00139083,아진산업,,
0134X0,01976418,대신밸런스제20호스팩,,
013720,00151605,청보,,
013810,00136165,스페코,,
013990,00138446,아가방컴퍼니,,
014100,00267854,메디앙스,,
014190,00128175,원익큐브,,
014470,00243067,부방,,
014570,00103015,고려제약,,
014620,00132318,성광벤드,,
014940,00141608,오리엔탈정공,,
014950,00127875,삼익제약,,
014970,00125488,삼륭물산,,
015710,00187725,코콤,,
015750,00132992,성우하이텍,,
016100,00180263,리더스코스메틱,,
016250,00141246,SGC E&C,,
0164H0,01987779,한국제16호스팩,,
0165X0,01989041,메리츠제2호스팩,,
016600,00267942,큐캐피탈,,
016670,00125725,디모아,,
016790,00164618,현대사료,,
016920,00152260,카스,,
017000,00136925,신원종합개발,,
017250,00145914,인터엠,,
017480,00128926,삼현철강,,
017510,00133751,세명전기,,
017650,00109781,대림제지,,
017890,00158565,한국알콜,,
018000,00144243,유니슨,,
018120,00170877,진로발효,,
018290,00150165,브이티,,
018310,00125646,삼목에스폼,,
018620,00103547,우진비앤지,,
018680,00131018,서울제약,,
018700,00122205,졸스,,
019010,00267906,베뉴지,,
019210,00139719,와이지-원,,
019540,00146560,일지테크,,
019550,00156910,SBI인베스트먼트,,
019570,00110750,플루토스,,
019660,00159731,글로본,,
019770,00153278,서연탑메탈,,
019990,00169215,에너토크,,
020180,00110875,대신정보통신,,
020400,00191287,대동금속,,
020710,00170026,시공테크,,
021040,00166175,대호특수강,,
021080,00161462,에이티넘인베스트,,
021320,00105466,KCC건설,,
021650,00160010,한국큐빅,,
021880,00136101,메이슨캐피탈,,
022220,00140061,티케이지애강,,
023160,00153375,태광,,
023410,00184667,유진기업,,
023440,00148531,제이스코홀딩스,,
023600,00125938,삼보판지,,
023760,00149594,한국캐피탈,,
023770,00138367,플레이위드,,
023790,00172945,동일스틸럭스,,
023900,00155452,풍국주정,,
023910,00113128,대한약품,,
024060,00167004,흥구석유,,
024120,00157539,KB오토시스,,
024740,00162832,한일단조,,
024800,00173999,유성티엔에스,,
024830,00173591,세원물산,,
024840,00158024,KBI메탈,,
024850,00155586,HLB이노베이션,,
024880,00157636,케이피에프,,
024910,00102353,경창산업,,
024940,00133557,PN풍년,,
024950,00128607,삼천리자전거,,
025320,00203023,시노펙스,,
025440,00110583,DH오토웨어,,
025550,00158015,한국선재,,
025770,00159342,한국정보통신,,
025870,00136004,신라에스지,,
025880,00101752,케이씨피드,,
025900,00173032,동화기업,,
025950,00116408,동신건설,,
025980,00161781,아난티,,
026040,00120289,제이에스티나,,
026150,00186939,특수건설,,
026910,00104120,광진실업,,
027040,00130587,서울전자통신,,
027050,00152589,코리아나,,
027360,00156895,아주IB투자,,
027580,00129615,상보,,
027710,00192499,팜스토리,,
027830,00109037,대성창투,,
028080,00219440,휴맥스홀딩스,,
028300,00199252,HLB,,
029480,00186452,광무,,
030350,00230036,드래곤플라이,,
030520,00204262,한글과컴퓨터,,
030530,00216647,원익홀딩스,,
030960,00139685,양지사,,
031310,00200910,아이즈비전,,
031330,00128661,에스에이엠티,,
031510,00175173,오스템,,
031860,00180865,디에이치엑스컴퍼니,,
031980,00208444,피에스케이홀딩스,,
032080,00201131,아즈텍WB,,
032190,00238782,다우데이타,,
032280,00127909,삼일,,
032300,00187770,한국파마,,
032500,00226352,케이엠더블유,,
032540,00201733,TJ미디어,,
032580,00189538,피델릭스,,
032620,00220057,GC메디아이,,
032680,00204226,소프트센,,
032750,00173351,삼진,,
032790,00110884,엠젠솔루션,,
032800,00231691,판타지오,,
032820,00231044,우리기술,,
032850,00231707,비트컴퓨터,,
032860,00205687,더라미,,
032940,00210980,원익,,
032960,00199076,동일기연,,
033050,00222435,제이엠아이,,
033100,00185356,제룡전기,,
033130,00231442,디지틀조선,,
033160,00121686,엠케이전자,,
033170,00158219,시그네틱스,,
033200,00241209,모아텍,,
033230,00229021,인성정보,,
033290,00155948,로젠,,
033310,00143226,엠투엔,,
033320,00223513,제이씨현시스템,,
033340,00205003,좋은사람들,,
033500,00231105,동성화인텍,,
033540,00105138,파라텍,,
033560,00238001,블루콤,,
033640,00227333,네패스,,
033790,00276083,피노,,
033830,00204642,티비씨,,
034810,00219361,해성산업,,
034940,00231831,조아제약,,
034950,00156956,한국기업평가,,
035080,00244561,그래디언트,,
035200,00356389,프럼파스트,,
035290,00249502,골드앤에스,,
035460,00258421,기산텔레콤,,
035600,00264547,KG이니시스,,
035610,00249982,솔본,,
035620,00259590,바른손이앤에이,,
035760,00265324,CJ ENM,,
035810,00242378,이지홀딩스,,
035890,00219848,서희건설,,
035900,00258689,JYP Ent.,,
036000,00259934,예림당,,
036010,00138598,아비코전자,,
036030,00260958,케이티알파,,
036090,00258360,위지트,,
036120,00260745,서울평가정보,,
036170,00232821,에이치엠넥스,,
036190,00176516,금화피에스시,,
036200,00260569,유니셈,,
036220,00260657,오상헬스케어,,
036480,00177320,대성미생물,,
036540,00301246,SFA반도체,,
036560,00141389,KZ정밀,,
036620,00261009,감성코퍼레이션,,
036630,00268002,세종텔레콤,,
036640,00230911,HRS,,
036670,00265041,삼양케이씨아이,,
036690,00268118,코맥스,,
036710,00152127,심텍홀딩스,,
036800,00264945,나이스정보통신,,
036810,00223434,에프에스티,,
036830,00247975,솔브레인홀딩스,,
036890,00174208,진성티이씨,,
036930,00252135,주성엔지니어링,,
037030,00231354,파워넷,,
037070,00238153,파세코,,
037230,00198192,한국팩키지,,
037330,00265421,인지디스플레,,
037350,00216498,성도이엔지,,
037370,00261054,EG,,
037400,00155692,우리엔터프라이즈,,
037440,00236863,희림,,
037460,00128315,삼지전자,,
037760,00239596,쎄니트,,
037950,00242712,엘컴텍,,
038010,00148595,제일테크노스,,
038060,00406329,루멘스,,
038070,00373447,서린바이오,,
038110,00139153,에코플라스틱,,
038290,00261373,마크로젠,,
038390,00261355,레드캡투어,,
038460,00240857,바이오스마트,,
038500,00239639,삼표시멘트,,
038530,00255105,케이바이오랩스,,
038540,00306162,상상인,,
038620,00264228,위즈코프,,
038680,00264635,에스넷,,
038870,00287812,에코심플렉스,,
038880,00252269,아이에이,,
038950,00264732,파인디지털,,
039010,00255044,현대에이치티,,
039020,00184889,이건홀딩스,,
039030,00246417,이오테크닉스,,
039200,00263654,오스코텍,,
039240,00206039,경남스틸,,
039290,00243757,인포뱅크,,
039310,00264671,세중,,
039340,00263371,한국경제TV,,
039420,00246620,케이엘넷,,
039440,00298340,에스티아이,,
039560,00268251,다산네트웍스,,
039610,00217743,화성밸브,,
039740,00261957,한국정보공학,,
039830,00141556,오로라,,
039840,00115931,디오,,
039860,00230425,나노엔텍,,
039980,00369213,폴라리스AI,,
040160,00269889,누리플렉스,,
040300,00200275,YTN,,
040350,00346407,크레오에스지,,
040420,00287788,정상제이엘에스,,
040610,00264714,SG&G,,
040910,00298377,아이씨디,,
041020,00269852,폴라리스오피스,,
041190,00231664,우리기술투자,,
041440,00228536,현대에버다임,,
041460,00361169,한국전자인증,,
041510,00260930,에스엠,,
041520,00137289,이엘씨,,
041590,00297448,플래스크,,
041830,00269922,인바디,,
041910,00463342,폴라리스AI파마,,
041920,00273439,메디아나,,
041930,00199988,SY동아,,
041960,00187415,코미팜,,
042000,00260879,카페24,,
042040,00206686,케이피엠테크,,
042110,00171867,에스씨디,,
042370,00103644,비츠로테크,,
042420,00266952,네오위즈홀딩스,,
042500,00352499,링네트,,
042510,00255433,라온시큐어,,
042520,00349060,한스바이오메드,,
042600,00147994,새로닉스,,
042940,00232007,상지건설,,
043090,00351454,더테크놀로지,,
043100,00220109,알파AI,,
043150,00264255,바텍,,
043200,00266934,파루,,
043220,00317487,티에스넥스젠,,
043260,00317210,성호전자,,
043340,00203209,에쎈테크,,
043360,00295547,디지아이,,
043370,00155151,피에이치에이,,
043590,00260611,웰킵스하이텍,,
043610,00223762,KT지니뮤직,,
043650,00256715,국순당,,
043710,00305570,코스리거글로벌,,
043910,00418379,자연과환경,,
044180,00111218,KD,,
044340,00293886,위닉스,,
044480,00173449,빌리언스,,
044490,00186799,태웅,,
044780,00235183,에이치케이,,
044960,00145473,이글벳,,
044990,00311216,에이치엔에스하이텍,,
045060,00220969,오공,,
045100,00216762,한양이엔지,,
045300,00350482,성우테크론,,
045340,00355089,토탈소프트,,
045390,00318316,대아티아이,,
045510,00147772,정원엔시스,,
045520,00185222,크린앤사이언스,,
045660,00256502,에이텍,,
045970,00271501,코아시아,,
046070,00295857,코다코,,
046120,00297989,오르비텍,,
046210,00172079,HLB파나진,,
046310,00360036,백금T&A,,
046390,00301112,삼화네트웍스,,
046440,00405278,KG파이낸셜,,
046890,00130763,서울반도체,,
046940,00363246,우원개발,,
046970,00296005,우리로,,
047080,00348292,한빛소프트,,
047310,00269612,파워로직스,,
047560,00273420,이스트소프트,,
047770,00329093,코데즈컴바인,,
047820,00299464,초록뱀미디어,,
047920,00336817,HLB제약,,
048410,00313649,현대바이오,,
048430,00201742,유라테크,,
048470,00109268,대동스틸,,
048530,00292434,인트론바이오,,
048550,00185046,SM C&C,,
048770,00108649,TPC로보틱스,,
048830,00108490,엔피케이,,
048870,00475985,시너지이노베이션,,
048910,00351807,대원미디어,,
049070,00226866,인탑스,,
049080,00377018,기가레인,,
049120,00350020,파인디앤씨,,
049180,00310156,셀루메드,,
049430,00152783,코메론,,
049470,00351579,비트플래닛,,
049480,00335076,오픈베이스,,
049520,00256380,유아이엘,,
049550,00261656,잉크테크,,
049630,00147082,재영솔루텍,,
049720,00336297,고려신용정보,,
049830,00135467,승일,,
049950,00447760,미래컴퍼니,,
049960,00357430,쎌바이오텍,,
050090,00369569,비케이홀딩스,,
050110,00330044,캠시스,,
050120,00175623,ES큐브,,
050760,00340272,에스폴리텍,,
050860,00138747,아세아텍,,
050890,00364403,쏠리드,,
050960,00577016,수산아이앤티,,
051160,00389110,지어소프트,,
051360,00390365,토비스,,
051370,00369170,인터플렉스,,
051380,00297934,피씨디렉트,,
051390,00296263,YW,,
051490,00297095,나라엠앤디,,
051500,00127954,CJ프레시웨이,,
051780,00296324,큐로홀딩스,,
051980,00347716,중앙첨단소재,,
052020,00273110,에스티큐브,,
052220,00370006,iMBC,,
052260,00347062,현대바이오랜드,,
052300,00349811,오션인더블유,,
052330,00305297,코텍,,
052400,00349732,코나아이,,
052420,00350048,오성첨단소재,,
052460,00405719,아이크래프트,,
052600,00244783,한네트,,
052710,00298447,아모텍,,
052770,00346911,아이톡시,,
052790,00348034,액토즈소프트,,
052860,00365758,아이앤씨,,
052900,00276834,KX하이텍,,
053030,00216027,바이넥스,,
053050,00351995,지에스이,,
053060,00133663,세동,,
053080,00304076,케이엔솔,,
053160,00352064,프리엠스,,
053260,00105475,금강철강,,
053270,00202060,구영테크,,
053280,00362858,예스24,,
053290,00363927,NE능률,,
053300,00306454,한국정보인증,,
053350,00353610,이니텍,,
053450,00351630,세코닉스,,
053580,00323868,웹케시,,
053610,00325112,프로텍,,
053620,00186717,태양,,
053700,00351092,삼보모터스,,
053800,00298270,안랩,,
053950,00307028,경남제약,,
053980,00226547,오상자이엘,,
054040,00303396,한국컴퓨터,,
054050,00176835,NH농우바이오,,
054090,00239514,삼진엘앤디,,
054180,00356839,메디콕스,,
054210,00206659,이랜텍,,
054220,00201432,비츠로시스,,
054300,00339072,팬스타엔터프라이즈,,
054410,00357607,케이피티유,,
054450,00423177,텔레칩스,,
054540,00250614,삼영엠텍,,
054620,00296078,APS,,
054670,00207375,대한뉴팜,,
054780,00353762,키이스트,,
054800,00359580,아이디스홀딩스,,
054920,00363592,한컴위드,,
054930,00144650,유신,,
054940,00360577,엑사이엔씨,,
054950,00361381,제이브이엠,,
056080,00234227,유진로봇,,
056090,00346610,시지메드텍,,
056190,00358271,SFA,,
056360,00360674,코위버,,
056700,00228350,신화인터텍,,
056730,00318662,CNT85,,
057030,00307222,YBM넷,,
057540,00265005,옴니시스템,,
057680,00372688,티사이언티픽,,
058110,00270113,멕아이씨에스,,
058400,00208134,KNN,,
058450,00146427,한주에이알티,,
058470,00369657,리노공업,,
058610,00220686,에스피지,,
058630,00397058,엠게임,,
058820,00380429,CMG제약,,
058970,00396925,엠로,,
059090,00366942,미코,,
059100,00407285,아이컴포넌트,,
059120,00404288,아진엑스텍,,
059210,00317681,메타바이오메드,,
059270,00453442,해성에어로보틱스,,
060150,00375931,인선이엔티,,
060230,00363510,제이케이시냅스,,
060240,00373571,스타코링크,,
060250,00357740,NHN KCP,,
060260,00351375,뉴보텍,,
060280,00356802,큐렉소,,
060310,00378363,3S,,
060370,00225742,LS마린솔루션,,
060380,00178851,동양에스텍,,
060480,00203847,국일신동,,
060540,00379229,에스에이티,,
060560,00288495,HC홈센타,,
060570,00364467,드림어스컴퍼니,,
060590,00362292,씨티씨바이오,,
060720,00378628,KH바텍,,
060850,00532129,영림원소프트랩,,
060900,00367695,에이전트AI,,
061040,00309831,알에프텍,,
061090,01010615,세나테크놀로지,,
061250,00188973,화일약품,,
061970,00412348,LB세미콘,,
062970,00403766,한국첨단소재,,
063080,00535746,컴투스홀딩스,,
063170,00410915,서울옥션,,
063440,00367604,SM Life Design,,
063570,00363769,NICE인프라,,
063760,00374020,이엘피,,
064090,00390408,인크레더블버즈,,
064240,00385336,홈캐스트,,
064260,00389970,다날,,
064290,00479787,인텍플러스,,
064480,00359076,브리지텍,,
064520,00370255,테크엘,,
064550,00326731,바이오니아,,
064760,00245472,티씨케이,,
064800,00392691,포니링크,,
064820,00152437,케이프,,
064850,00331016,에프앤가이드,,
065060,00258102,지엔코,,
065130,00366845,탑엔지니어링,,
065150,00390860,대산F&B,,
065170,00384717,비엘팜텍,,
065350,00136226,신성델타테크,,
065370,00374738,위세아이텍,,
065420,00120906,에스아이리소스,,
065440,00390514,이루온,,
065450,00385363,빅텍,,
065500,00300405,오리엔트정공,,
065510,00398668,휴비츠,,
065530,00250137,와이어블,,
065570,00288343,삼영이엔씨,,
065650,00391197,하이퍼코퍼레이션,,
065660,00631837,안트로젠,,
065680,00390903,우주일렉트로,,
065690,00384762,파커스,,
065710,00220622,서호전기,,
065770,00303703,CS,,
065950,00362159,웰크론,,
066130,00221728,하츠,,
066310,00411446,큐에스아이,,
066360,00216434,체리부로,,
066410,00378220,버킷스튜디오,,
066430,00370200,아이로보틱스,,
066590,00301422,스모트로닉,,
066620,00253985,국보디자인,,
066670,00371740,디티씨,,
066700,00249894,테라젠이텍스,,
066790,00249441,씨씨에스,,
066900,00303192,디에이피,,
066910,00306870,손오공,,
066980,00389998,한성크린텍,,
067000,00397252,조이시티,,
067010,00400060,이씨에스,,
067080,00210740,대화제약,,
067160,00399694,SOOP,,
067170,00397289,오텍,,
067280,00425351,멀티캠퍼스,,
067290,00110431,JW신약,,
067310,00445054,하나마이크론,,
067370,00407036,선바이오,,
067390,00409681,아스트,,
067570,00146436,엔브이에이치코리아,,
067630,00365590,HLB생명과학,,
067730,00238199,로지시스,,
067770,00406727,세진티에스,,
067900,00190756,와이엔텍,,
067920,00364847,이글루,,
067990,00449379,도이치모터스,,
068050,00397191,팬엔터테인먼트,,
068100,00426828,케이웨더,,
068240,00523307,다원시스,,
068330,00385415,일신바이오,,
068760,00541349,셀트리온제약,,
068790,00361594,DMS,,
068930,00398808,디지털대성,,
068940,00308896,셀피글로벌,,
069080,00405320,웹젠,,
069140,00410997,누리플랜,,
069330,00400121,유아이디,,
069410,00415707,엔텔스,,
069510,00306719,에스텍,,
069540,00367482,빛과전자,,
069920,00426068,엑시온그룹,,
070300,00683007,엑스큐어,,
070590,00470829,인티큐브,,
071200,00435969,인피니트헬스케어,,
071280,00363486,로체시스템즈,,
071670,00384887,에이테크솔루션,,
071850,00302582,캐스텍코리아,,
072020,00415327,중앙백신,,
072470,00359623,우리산업홀딩스,,
072770,00583026,멤레이비티,,
072870,00422284,메가스터디,,
072950,00359261,빛샘전자,,
072990,00527464,에이치시티,,
073010,00328191,케이에스피,,
073110,00494218,엘엠에스,,
073190,00407771,듀오백,,
073490,00462121,LIG아큐버,,
073540,00442561,에프알텍,,
073560,00413417,우리손에프앤지,,
073570,00440712,리튬포어스,,
073640,00373021,테라사이언스,,
074430,00466428,아미노로직스,,
074600,00468374,원익QnC,,
075130,00490179,플랜티넷,,
075970,00472890,동국알앤에스,,
076080,00487546,웰크론한텍,,
076610,00483735,해성옵틱스,,
077360,00471068,덕산하이메탈,,
078020,00330424,LS증권,,
078070,00411385,유비쿼스홀딩스,,
078130,00104573,국일제지,,
078140,00442826,대봉엘에스,,
078150,00255275,HB테크놀러지,,
078160,00453929,메디포스트,,
078340,00476498,컴투스,,
078350,00488989,한양디지텍,,
078590,00230814,휴림에이텍,,
078600,00177816,대주전자재료,,
078860,00543204,아이오케이이엔엠,,
078890,00441304,가온그룹,,
079000,00455875,와토스코리아,,
079170,00202839,한창산업,,
079190,00479705,케스피온,,
079370,00442570,제우스,,
079650,00130408,서산,,
079810,00445160,APS이노베이션,,
079940,00506294,가비아,,
079950,00409371,인베니아,,
079960,00178790,동양이엔피,,
079970,00596260,투비소프트,,
080010,00454399,이상네트웍스,,
080160,00456218,모두투어,,
080220,00447487,제주반도체,,
080420,00480048,모다이노칩,,
080470,00486370,성창오토텍,,
080520,00529815,오디텍,,
080530,00308559,코디,,
080580,00543107,오킨스전자,,
080720,00532855,한국유니온제약,,
081150,00497631,티플랙스,,
081180,00406222,쎄크,,
081580,00364306,성우전자,,
082210,00327396,옵트론텍,,
082270,00492894,젬백스,,
082660,00442455,코스나인,,
082800,00533191,비보존 제약,,
082850,00369107,우리바이오,,
082920,00154718,비츠로셀,,
083310,00484682,엘오티베큠,,
083450,00540863,GST,,
083470,00475718,이엠앤아이,,
083500,00476036,에프엔에스테크,,
083550,00242934,케이엠,,
083640,00475976,인콘,,
083650,00409788,비에이치아이,,
083660,00406037,CSA 코스믹,,
083790,00407814,CG인바이츠,,
083930,00442145,아바코,,
084110,00228059,휴온스글로벌,,
084180,00243979,수성웹툰,,
084370,00531014,유진테크,,
084440,00531078,유비온,,
084650,00545114,랩지노믹스,,
084730,00438036,팅크웨어,,
084850,00579980,아이티엠반도체,,
084990,00359395,헬릭스미스,,
085660,00525679,차바이오텍,,
085670,00493510,뉴프렉스,,
085810,00364254,알티캐스트,,
085910,00447928,네오티스,,
086040,00447502,바이오톡스텍,,
086060,00491053,진바이오텍,,
086390,00540447,유니테스트,,
086450,00114808,동국제약,,
086520,00536541,에코프로,,
086670,00524786,비엠티,,
086710,00132202,선진뷰티사이언스,,
086820,00560982,바이오솔루션,,
086890,00526872,이수앱지스,,
086900,00580199,메디톡스,,
086960,00445841,MDS테크,,
086980,00303794,쇼박스,,
087010,00415868,펩트론,,
087260,00556615,모바일어플라이언스,,
087600,00495086,픽셀플러스,,
088130,00489243,동아엘텍,,
088280,00561723,쏘닉스,,
088290,00409140,이원컴포텍,,
088340,00407294,유라클,,
088390,00494476,이녹스,,
088800,00556907,에이스테크,,
088910,00228712,동우팜투테이블,,
089010,00371485,켐트로닉스,,
089030,00535676,테크윙,,
089140,00416414,넥스턴앤롤코리아,,
089150,00441447,케이씨티,,
089230,00519252,THE E&M,,
089600,00486097,KT나스미디어,,
089790,00365457,제이티,,
089850,00592653,유비벨록스,,
089890,00365934,코세스,,
089970,00544577,브이엠,,
089980,00181299,상아프론테크,,
090150,00365624,아이윈,,
090360,00536523,로보스타,,
090410,00454937,덕신이피씨,,
090470,00493185,제이스로보틱스,,
090710,00540429,휴림로봇,,
090850,00656951,현대이지웰,,
091120,00541163,이엠텍,,
091340,00580667,S&K폴리텍,,
091440,00560122,한울소재과학,,
091580,00480783,상신이디피,,
091590,00108001,남화토건,,
091700,00490151,파트론,,
091970,00542074,LSK아이로봇,,
092040,00545734,아미코젠,,
092070,00569691,디엔에프,,
092130,00634728,이크레더블,,
092190,00488402,서울바이오시스,,
092300,00367455,현우산업,,
092460,00528515,한라IMS,,
092600,00537337,앤씨앤,,
092730,00551920,네오팜,,
092870,00611736,엑시콘,,
093190,00478900,빅솔론,,
093320,00603348,케이아이엔엑스,,
093380,00155373,풍강,,
093520,00596677,매커스,,
093640,00536888,케이알엠,,
093920,00445799,서원인텍,,
094170,00695969,동운아나텍,,
094360,00579971,칩스앤미디어,,
094480,00587457,갤럭시아머니트리,,
094820,00485177,일진파워,,
094840,00599957,슈프리마에이치큐,,
094850,00606770,참좋은여행,,
094860,00599106,네오리진,,
094940,00537832,푸른로보틱스,,
094970,00533508,제이엠티,,
095190,00526951,신화프리텍,,
095270,00526696,웨이브일렉트로,,
095340,00572905,ISC,,
095500,00526836,미래나노텍,,
095610,00524421,테스,,
095660,00628860,네오위즈,,
095700,00545929,제넥신,,
095910,00585538,에스에너지,,
096240,00525882,크레버스,,
096250,00351427,와이즈넛,,
096350,00177870,대창솔루션,,
096530,00788773,씨젠,,
096610,00516246,알에프세미,,
096630,00573269,에스코넥,,
096690,00608839,에이루트,,
096870,00540571,엘디티,,
097780,00562360,에코볼트,,
097800,00536286,윈팩,,
097870,00367385,효성오앤비,,
098070,00404941,한텍,,
098120,00568188,마이크로컨텍솔,,
098460,00579999,고영,,
098660,00612188,에스티오,,
099190,00550994,아이센스,,
099220,00574611,SDN,,
099320,00449254,쎄트렉아이,,
099390,00642897,브레인즈컴퍼니,,
099410,00526678,동방선기,,
099430,00636656,바이오플러스,,
099440,00580056,스맥,,
099520,00627029,DGI,,
099750,00490090,이지케어텍,,
100030,00641171,인지소프트,,
100120,00609324,뷰웍스,,
100130,00415594,동국S&C,,
100590,00364740,머큐리,,
100660,00166528,서암기계공업,,
100700,00362201,세운메디칼,,
100790,00340096,미래에셋벤처투자,,
101000,00618410,KS인더스트리,,
101160,00580065,월덱스,,
101170,00567222,우림피티에스,,
101240,00520610,씨큐브,,
101330,00498001,모베이스,,
101360,00619640,에코앤드림,,
101400,00641393,엔시트론,,
101490,00411048,에스앤에스텍,,
101670,00527491,하이드로리튬,,
101680,00257732,한국정밀기계,,
101730,00643656,위메이드맥스,,
101930,00482426,인화정공,,
101970,00450931,우양에이치씨,,
102120,00591441,어보브반도체,,
